ID,nspI,nspP,habitat
1,25,3,Hab1
2,41,8,Hab1
3,27,4,Hab1
4,46,9,Hab1
5,46,9,Hab1
6,17,0,Hab1
7,34,5,Hab1
8,43,9,Hab1
9,32,6,Hab1
10,32,5,Hab1
11,47,10,Hab1
12,31,5,Hab1
13,36,7,Hab1
14,35,6,Hab1
15,16,1,Hab1
16,46,9,Hab1
17,23,2,Hab1
18,18,0,Hab1
19,26,3,Hab1
20,46,10,Hab1
21,44,9,Hab1
22,40,7,Hab1
23,35,6,Hab1
24,46,10,Hab1
25,40,7,Hab1
26,37,7,Hab1
27,32,5,Hab1
28,35,6,Hab1
29,25,3,Hab1
30,20,1,Hab1
31,45,10,Hab1
32,44,9,Hab1
33,38,7,Hab1
34,39,8,Hab1
35,18,0,Hab1
36,32,5,Hab1
37,39,8,Hab1
38,23,2,Hab1
39,25,3,Hab1
40,23,2,Hab1
41,22,1,Hab1
42,30,4,Hab1
43,29,4,Hab1
44,29,4,Hab1
45,21,2,Hab1
46,17,1,Hab1
47,22,2,Hab1
48,28,5,Hab1
49,29,3,Hab1
50,50,9,Hab1
51,18,0,Hab1
52,31,4,Hab1
53,44,8,Hab1
54,20,1,Hab1
55,35,6,Hab1
56,22,2,Hab1
57,21,1,Hab1
58,39,8,Hab1
59,43,9,Hab1
60,30,4,Hab1
61,39,7,Hab1
62,18,1,Hab1
63,28,4,Hab1
64,25,3,Hab1
65,38,8,Hab1
66,30,4,Hab1
67,41,8,Hab1
68,39,8,Hab1
69,46,8,Hab1
70,29,4,Hab1
71,43,8,Hab1
72,37,6,Hab1
73,41,7,Hab1
74,19,0,Hab1
75,33,5,Hab1
76,24,2,Hab1
77,28,4,Hab1
78,31,6,Hab1
79,28,4,Hab1
80,19,1,Hab1
81,22,2,Hab1
82,36,7,Hab1
83,28,4,Hab1
84,40,8,Hab1
85,21,1,Hab1
86,28,4,Hab1
87,44,10,Hab1
88,40,9,Hab1
89,46,9,Hab1
90,23,2,Hab1
91,22,1,Hab1
92,35,7,Hab1
93,23,3,Hab1
94,36,7,Hab1
95,27,3,Hab1
96,24,2,Hab1
97,47,8,Hab1
98,21,1,Hab1
99,31,5,Hab1
100,30,5,Hab1
101,37,6,Hab1
102,27,3,Hab1
103,30,5,Hab1
104,48,10,Hab1
105,35,5,Hab1
106,44,9,Hab1
107,44,9,Hab1
108,39,6,Hab1
